V1,V2,V3,V4
18.5,17.5,38.0,38.0
12.0,12.0,32.0,32.0
11.5699462890625,12.4300537109375,38.9765625,41.0234375
0.8599853515625,3.1400146484375,28.17578125,31.82421875
7.955078125,12.044921875,27.68017578125,32.31982421875
0.961181640625,7.038818359375,35.498046875,40.501953125
15.979736328125,24.020263671875,33.56298828125,38.43701171875
5.1136474609375,14.8863525390625,45.7685546875,50.2314453125
8.4696044921875,19.5303955078125,29.99560546875,34.00439453125
2.1356201171875,13.8643798828125,44.130859375,47.869140625
-1.8592529296875,9.8592529296875,46.0625,49.9375
6.4351806640625,17.5648193359375,41.71435546875,46.28564453125
12.9063720703125,23.0936279296875,41.10302734375,46.89697265625
7.42529296875,16.57470703125,26.38623046875,33.61376953125
5.908935546875,14.091064453125,29.828125,38.171875
10.354736328125,17.645263671875,45.677734375,54.322265625
0.8243408203125,7.1756591796875,34.03515625,41.96484375
5.36474609375,10.63525390625,36.76904296875,43.23095703125
11.924560546875,16.075439453125,29.560546875,34.439453125
2.3316650390625,5.6683349609375,46.04052734375,49.95947265625
12.3792724609375,15.6207275390625,33.96337890625,38.03662109375
3.9635009765625,8.0364990234375,47.333984375,52.666015625
13.19970703125,18.80029296875,32.40869140625,39.59130859375
6.407958984375,13.592041015625,45.5625,54.4375
7.971435546875,16.028564453125,45.0966796875,54.9033203125
8.1300048828125,15.8699951171875,39.09130859375,48.90869140625
-1.16845703125,5.16845703125,43.3974609375,52.6025390625
17.740478515625,22.259521484375,33.755859375,42.244140625
10.3856201171875,13.6143798828125,39.97607421875,48.02392578125
10.3804931640625,13.6195068359375,36.04345703125,43.95654296875
1.5914306640625,6.4085693359375,28.10986328125,35.89013671875
4.193359375,11.806640625,32.35546875,39.64453125
14.5977783203125,25.4022216796875,28.8388671875,35.1611328125
11.311279296875,24.688720703125,37.42724609375,42.57275390625
6.7681884765625,21.2318115234375,39.8662109375,44.1337890625
5.173095703125,18.826904296875,41.9453125,46.0546875
-1.5955810546875,9.5955810546875,39.619140625,44.380859375
2.0418701171875,9.9581298828125,35.01416015625,40.98583984375
9.525390625,14.474609375,40.3232421875,47.6767578125
14.3934326171875,17.6065673828125,33.69580078125,42.30419921875
14.474609375,17.525390625,31.18603515625,40.81396484375
9.942626953125,14.057373046875,38.78125,49.21875
11.204345703125,16.795654296875,30.48193359375,41.51806640625
