EOGh_mean,EOGh_mav,EOGh_rms,EOGh_std,EOGh_max,EOGh_min,EOGh_ptp,EOGh_wl,EOGv_mean,EOGv_mav,EOGv_rms,EOGv_std,EOGv_max,EOGv_min,EOGv_ptp,EOGv_wl,subject_id,label,start_idx,end_idx
22.674084448159277,25.136600054670822,41.31250367297441,34.53416937132361,107.42517508707023,-12.16785572589781,119.59303081296804,415.58604931960576,-22.282456775961773,31.450552635081962,32.92096441175148,24.2339022410177,31.89249460936093,-49.4900484465808,81.38254305594174,324.0908413930404,S1,2,249,504
18.419473056800367,18.421329319989557,21.100718197914016,10.293848686355606,42.670372246077434,-0.14412280389116122,42.8144950499686,224.0968835249042,39.22558796866212,60.26048195211136,121.75310114297397,115.26131565466359,426.43664846435996,-43.25685277401477,469.6935012383747,1093.1858711911723,S1,3,513,768
26.02708182211384,26.11376275158006,28.044246183285097,10.4436945480846,46.17690183267037,-3.181906605576018,49.358808438246385,301.03029403772325,24.06281616067388,39.240649516410436,94.67004313399369,91.56089746944289,425.8663651347621,-28.133590266578384,453.99995540134046,701.9777886553691,S1,3,641,896
-123.09997689032562,137.96654656354139,148.4954422292534,83.04993710089627,55.76301301289714,-189.52999312194063,245.29300613483778,454.26600139091266,-13.75838810530243,23.513697746671646,31.274646541604575,28.08576637811708,35.13270957683191,-60.75165890213228,95.88436847896418,375.9880143294899,S1,1,1023,1278
-20.74861712982953,74.6274497866884,94.86947685142333,92.57274180482335,71.64889252665388,-176.43969348395305,248.08858601060695,517.5240007465484,-32.189186629936145,32.30912761110968,34.36969095008382,12.047071017779123,4.192203154123982,-58.54288836586282,62.7350915199868,377.8355986172668,S1,2,1295,1550
70.08511150916193,70.08511150916193,70.56272751416351,8.196075828494095,86.4038864624414,51.48485671743183,34.919029745009574,286.539654228633,52.00630081587852,58.10946108081386,122.18753927307708,110.56735245567792,408.4773485791083,-25.1761025564068,433.6534511355151,1047.1593275821147,S1,3,1560,1815
77.12947446237112,77.12947446237112,77.65063155570205,8.981355697100058,101.58120155660633,54.0725302097207,47.50867134688563,266.9201835354361,8.453037334155525,10.22896228045946,13.262770642070686,10.219943489645377,35.38935799524175,-11.279942044978934,46.66930004022069,294.31881572425505,S1,3,1688,1943
70.14392446840914,70.14392446840914,72.63012297069176,18.84050484748006,101.58120155660633,28.62744865641158,72.95375290019476,285.2555929597627,17.790681410262152,18.449281277558416,22.097780882554638,13.107386272325611,42.56685734075376,-5.603212713140663,48.17007005389442,314.0002710398508,S1,3,1816,2071
-78.35660780295942,85.90292329710233,90.12563114594364,44.52944422590392,34.65549014194654,-114.96509271194368,149.62058285389023,394.2440698321698,-93.98754359262543,99.19285686648566,107.40992969604086,51.992640313151774,24.378726469115968,-143.03836306365068,167.41708953276665,387.99573840742573,S1,1,2072,2327
29.216658418502696,29.236756855295546,31.675650853271375,12.236573369815886,47.287586846580446,-1.4560493261073255,48.74363617268777,292.1689667962322,87.37046201517317,87.37262455124535,150.27537491049492,122.26647403006675,437.6422218301662,-0.2768046172390969,437.9190264474053,1029.9518628767169,S1,3,2579,2834
